job_title,salary
مشرف إنتاج,4000.0
كاتب اتصال,4000.0
سكرتير قانوني,4000.0
صانع حلويات,4000.0
مسؤول تراخيص وتصاريح,4000.0
مراقب متجر,4000.0
مراقب الجودة,4000.0
طاهي,4000.0
مدير مطعم,4000.0
مدير مركز رعاية ذوي الاعاقة,4000.0
مدير متجر,4000.0
مدير متابعة وأداء مؤسسي,4000.0
مدير مالي,4000.0
أخصائي أسرة وطفولة,4000.0
موظف استقبال فندق,3989.0
مندوب مشتريات,3900.0
حاضنة أطفال,3833.0
حارس أمن,3822.0
كاتب استعلامات مركز خدمة عملاء,3800.0
سائق حافلة,3750.0
عامل تعبئة وتغليف,3733.0
منسق زهور,3600.0
مصفف شعر,3500.0
معلم حضانة,3200.0
